epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.5,10,20.20129371436668,1,50,339.6,20.535359011523152,1,50,374.76,0.6798047648023808,1000,18,134.57127783639694,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.001,10,20.530273892139494,1,50,10.3,20.530422156404335,1,50,9.2,1.0245537694703732,1000,18,7.818903759649025,20.001169506283183,500,35,7.184471489745324,
0.001,10,20.383993553622048,1,50,9.7,20.413323793718995,1,50,9.3,1.7930749485690538,1000,18,7.650635863830733,20.001382581901016,500,35,7.123281496506649,
0.001,10,20.333090017448555,1,50,7.72,20.461779756185432,1,50,9.94,1.8843090914086464,1000,18,7.745654467707003,20.00141206387835,500,35,7.15359477124183,
0.001,25,20.336112998801887,1,50,7.92,20.305840590723093,1,50,8.62,7.996444739433631,1000,7,7.5820753433972525,20.002066285698465,500,14,7.098895102987314,
0.001,25,20.35479096812761,1,50,8.5,20.191428947184438,1,50,7.0,7.935590178186137,1000,7,7.574731402148783,20.00238856575348,500,14,7.116218796889919,
0.001,25,20.436203293968713,1,50,9.2,20.47322994867916,1,50,8.64,14.133278378060758,1000,7,7.548075615395077,20.002543076500867,500,14,7.243350156868094,
0.001,25,20.45687210715977,1,50,11.02,20.536445228991255,1,50,6.56,17.109377001802955,1000,7,7.379572963416293,20.002417991066114,500,14,7.2763606602100666,
0.001,25,20.387306032526986,1,50,10.16,20.306796985319725,1,50,7.56,19.966388797003944,1000,7,7.235278117775057,20.001973566225004,500,14,7.143363797571955,
0.001,25,20.44144182869344,1,50,11.44,20.42529452373289,1,50,6.38,19.95160161541099,1000,7,7.325989392084863,20.002354539764973,500,14,7.17992088391761,
0.001,25,20.632937270877914,1,50,8.54,20.320540037182692,1,50,11.16,18.386092022761144,1000,7,7.357677138582892,20.002210764667222,500,14,7.174873823489292,
