epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO
0.001,25,1763935.8861719556,21,50,8.826666666666666,2712092.408114027,961,7,8.943504445081732,3553386.0412003547,1000,7,8.28015775873793,2197075.307321642,500,14,8.563770290546993,
0.001,25,1972786.8061908502,21,50,8.78,2710258.8837931794,961,7,8.918267852021796,3808702.353345593,1000,7,8.292669658642732,2402591.752021357,500,14,8.5598144864275,
0.001,25,1626830.7155442415,21,50,8.81904761904762,2263541.8996368344,961,7,8.9678806997419,3103372.753311376,1000,7,8.288725690194479,1868977.9681919354,500,14,8.595689537580139,
0.001,25,1747084.12988524,21,50,9.016190476190475,2486628.120088946,961,7,8.940780040149125,3512910.498900169,1000,7,8.239494084047328,2195638.726289339,500,14,8.500341017596508,
0.001,25,1698276.463217168,21,50,9.00952380952381,2416546.4239299498,961,7,8.972325781474046,3272147.4055669066,1000,7,8.22562219502244,2167231.9681339823,500,14,8.535261219478926,
0.001,25,1759641.7929188688,21,50,8.74095238095238,2402716.744943864,961,7,8.933467163751075,3564568.3253676896,1000,7,8.2171902624779,2228492.9683568105,500,14,8.513708907379621,
0.001,25,1800639.6325870825,21,50,8.771428571428572,2387950.8502795,961,7,9.033409807857758,3808271.062558567,1000,7,8.443084455324357,2596600.3153705127,500,14,8.641385895512208,
0.001,25,1651685.1892098677,21,50,9.043809523809523,2547705.2650561105,961,7,8.9327502150846,3173651.911321672,1000,7,8.205222358221134,2142699.830311115,500,14,8.400354658300369,
0.001,25,1674963.9813311049,21,50,8.880952380952381,2510340.2807533774,961,7,8.929452251218812,3080565.3817172595,1000,7,8.276213790289678,2056295.3158126427,500,14,8.595007502387123,
0.001,25,1747850.4946555905,21,50,8.907619047619047,2739669.650445465,961,7,8.942644106681962,3480287.6781051196,1000,7,8.128110975112198,2179462.749007842,500,14,8.493384258627746,
0.001,25,1721073.9326817107,21,50,8.614285714285714,2650194.2292914665,961,7,8.807570977917981,3034640.080596851,1000,7,8.26968584251326,2159457.3278703457,500,14,8.528168053471559,
0.001,25,1678743.9258943459,21,50,8.863809523809524,2628773.748934348,961,7,8.912962431889877,3560478.0122011765,1000,7,8.30205358357133,2311496.104309048,500,14,8.632792252080208,
0.001,25,1790148.2770332913,21,50,8.965714285714286,2578827.4279881367,961,7,8.847720103240608,3258299.533311036,1000,7,8.184822521419829,2044063.7533911758,500,14,8.467194107215933,
0.001,25,1778091.6917524373,21,50,8.837142857142856,2714740.8492611516,961,7,8.985230857470604,3185683.0683282316,1000,7,8.269141846865224,2268225.860371943,500,14,8.537716546173783,
0.001,25,1810259.9036036888,21,50,8.948571428571428,2571904.750461086,961,7,8.91697734442214,3508218.342480089,1000,7,8.361893104855161,2156638.160886892,500,14,8.531851043513845,
0.001,25,1860869.1762760396,21,50,8.951428571428572,2678508.60785365,961,7,8.988958990536277,3463346.386749982,1000,7,8.355501155990751,2384851.057225134,500,14,8.60592006547538,
0.001,25,1637261.1218064805,21,50,8.822857142857142,2359411.7326814,961,7,8.997992543733869,3162343.322962811,1000,7,8.289949680402557,1946694.3198862842,500,14,8.533215113899876,
0.001,25,1742035.5138706958,21,50,9.075238095238095,2621013.220377568,961,7,8.943791224548322,3202558.934122514,1000,7,8.10390316877465,1966344.304171174,500,14,8.538398581366799,
0.001,25,1602064.1449719782,21,50,8.924761904761905,2636469.351930523,961,7,9.005018640665329,3638225.263832982,1000,7,8.425676594587243,2256170.3703634283,500,14,8.593507024962488,
0.001,50,1736791.7678444926,21,50,8.970476190476191,3820987.494180986,961,3,8.822185521607487,8973479.826218031,1000,3,8.452413049339444,3819077.7737974273,500,7,8.979409374153345,
0.001,50,1744032.0806190937,21,50,8.848571428571429,3736252.6752758855,961,3,8.89402697495183,6974011.873535025,1000,3,8.294149366406039,3017535.0538573163,500,7,8.92251422378759,
0.001,50,1676049.0464573856,21,50,9.128571428571428,3465538.76997475,961,3,8.822185521607487,6536382.353678301,1000,3,8.188730115934215,2848167.551671907,500,7,8.625575724735844,
0.001,50,1605141.55363847,21,50,8.836190476190476,3876619.897352175,961,3,8.737131846958437,6939789.470953989,1000,3,8.344836883256942,3163802.8069102177,500,7,8.904903820102954,
0.001,50,1712006.4284606962,21,50,8.684761904761904,3742756.2829919388,961,3,8.867052023121387,7648565.424052295,1000,3,8.583984901590725,3509708.2837618436,500,7,9.01625575724736,
0.001,50,1876904.3338671075,21,50,8.711428571428572,3913617.830334161,961,3,8.794109551334985,7021247.359607464,1000,3,8.448099218118092,3520264.893324835,500,7,8.85125982118667,
0.001,50,1964617.8936270983,21,50,8.831428571428571,4130676.32020556,961,3,8.892100192678228,7310917.411258342,1000,3,8.352655702345645,3213080.679263719,500,7,8.779734489298294,
0.001,50,2120766.3749953285,21,50,8.641904761904762,4140130.430483167,961,3,8.801816680429397,7460039.066139798,1000,3,8.29118360744136,3430156.119661258,500,7,8.723652126794907,
0.001,50,1672776.5738823365,21,50,8.734285714285715,3869259.223069863,961,3,8.816680429397193,6592449.72773351,1000,3,8.23483418711243,2962164.124495442,500,7,8.839338932538608,
0.001,50,1839064.7705151853,21,50,8.922857142857143,3776987.942699417,961,3,8.762455271125791,7254461.857298916,1000,3,8.266918306821246,3309087.311352727,500,7,8.798428610132756,
0.001,50,1652764.1399165296,21,50,8.62,3679038.4555231766,961,3,8.87998898981558,7369723.914529789,1000,3,8.21838770558102,3178389.4784105425,500,7,8.827959902465457,
0.001,50,1710242.1908408666,21,50,8.838095238095239,3645739.792299518,961,3,8.72914946325351,8038557.671708254,1000,3,8.24427069290914,3243326.5242003864,500,7,8.794635600108371,
0.001,50,1868740.5275048676,21,50,8.761904761904763,3915303.8299053456,961,3,8.830718414533443,7431134.61279484,1000,3,8.489889458074952,3701382.244721148,500,7,8.929287455973991,
0.001,50,1791390.7331735059,21,50,8.831428571428571,3651594.659169331,961,3,8.851362510322048,5844080.442889673,1000,3,8.137772984631976,2925079.0293328376,500,7,8.794635600108371,
0.001,50,1755743.119736602,21,50,8.646666666666667,3808411.4857566217,961,3,8.801816680429397,7050679.158728139,1000,3,8.203828525208952,3221223.797674471,500,7,8.804659983744243,
0.001,50,1769606.5100008927,21,50,8.708571428571428,4282239.306961076,961,3,8.830993669143957,7481094.234109007,1000,3,8.009706120248046,3326552.016630611,500,7,8.805201842319155,
0.001,50,1746179.316676725,21,50,8.737142857142857,3929051.6259665834,961,3,8.840077071290944,6181955.35611078,1000,3,8.225667295767053,3024279.567490315,500,7,8.716337036033595,
0.001,50,1727196.3243302144,21,50,8.491428571428571,3815141.147688058,961,3,8.738783374621525,7570836.280867964,1000,3,8.210029657589647,3552020.14185171,500,7,8.93335139528583,
0.001,50,1735839.5515784752,21,50,8.779047619047619,4037926.347685269,961,3,8.915221579961464,6219215.159098658,1000,3,8.32353734160151,3104959.2666654205,500,7,8.768355459225143,
0.001,50,1893984.3345284436,21,50,8.796190476190477,3768797.9160512513,961,3,8.721167079548582,6484256.075116066,1000,3,8.150984092747372,3142874.4022860066,500,7,8.92251422378759,
0.001,50,2088688.5358970591,21,50,8.625714285714286,3733391.514684152,961,3,8.74896779521057,6695693.567932116,1000,3,8.172014019951469,3410603.9583592867,500,7,8.855865619073422,
0.001,50,1828587.2742869318,21,50,8.581904761904761,3844570.1925854553,961,3,8.920451417561244,7235531.084746142,1000,3,8.434618495551362,3154204.4818523107,500,7,8.747764833378488,
0.001,50,1719634.8911019482,21,50,8.742857142857142,3799456.5536532756,961,3,8.766308835672998,7465624.161179788,1000,3,8.269075222431923,3036274.759888302,500,7,8.773503115686806,
0.001,50,1660712.0658318482,21,50,8.784761904761904,4006595.212213244,961,3,8.764932562620423,7422208.694073145,1000,3,7.897276894041521,2978318.230691008,500,7,8.777567054998645,
0.001,50,1636272.6239778295,21,50,9.026666666666667,3746505.3520873133,961,3,8.703826039086154,7172361.883548156,1000,3,8.713399838231329,3434532.8376637655,500,7,8.989975616364129,
